7.997E+07	134.7	10.57	820.5
8.052E+07	135.6	10.57	825.7
8.106E+07	136.5	10.58	830.9
8.161E+07	137.4	10.58	836.1
8.216E+07	138.4	10.59	841.3
8.271E+07	139.3	10.6	846.5
8.326E+07	140.2	10.6	851.7
8.381E+07	141.1	10.61	856.9
8.436E+07	142.1	10.61	862.1
8.491E+07	143	10.62	867.3
8.546E+07	143.9	10.62	872.5
8.602E+07	144.9	10.63	877.7
8.657E+07	145.8	10.64	882.9
8.713E+07	146.7	10.64	888.2
8.768E+07	147.7	10.65	893.4
8.824E+07	148.6	10.65	898.6
8.880E+07	149.6	10.66	903.8
8.936E+07	150.5	10.67	909
8.992E+07	151.4	10.67	914.2
9.048E+07	152.4	10.68	919.4
9.104E+07	153.3	10.69	924.6
9.160E+07	154.3	10.69	929.8
9.216E+07	155.2	10.7	935
9.273E+07	156.2	10.7	940.2
9.329E+07	157.1	10.71	945.4
9.386E+07	158.1	10.72	950.6
9.443E+07	159	10.72	955.8
9.499E+07	160	10.73	961
9.556E+07	160.9	10.74	966.3
9.613E+07	161.9	10.74	971.5
9.670E+07	162.9	10.75	976.7
9.727E+07	163.8	10.76	981.9
9.785E+07	164.8	10.76	987.1
9.842E+07	165.8	10.77	992.3
9.899E+07	166.7	10.78	997.5
9.957E+07	167.7	10.78	1003
1.001E+08	168.7	10.79	1008
1.007E+08	169.6	10.8	1013
1.013E+08	170.6	10.8	1018
1.019E+08	171.6	10.81	1024
1.025E+08	172.6	10.82	1029
1.030E+08	173.5	10.82	1034
1.036E+08	174.5	10.83	1039
1.042E+08	175.5	10.84	1044
1.048E+08	176.5	10.84	1050
1.054E+08	177.5	10.85	1055
1.060E+08	178.5	10.86	1060
1.065E+08	179.4	10.87	1065
1.071E+08	180.4	10.87	1070
1.077E+08	181.4	10.88	1076
1.083E+08	182.4	10.89	1081
1.089E+08	183.4	10.89	1086
1.095E+08	184.4	10.9	1091
1.101E+08	185.4	10.91	1096
1.107E+08	186.4	10.92	1102
1.113E+08	187.4	10.92	1107
1.119E+08	188.4	10.93	1112
1.125E+08	189.4	10.94	1117
1.131E+08	190.4	10.95	1122
1.137E+08	191.4	10.95	1128
1.143E+08	192.5	10.96	1133
1.149E+08	193.5	10.97	1138
1.155E+08	194.5	10.98	1143
1.161E+08	195.5	10.99	1148
1.167E+08	196.5	10.99	1154
1.173E+08	197.5	11	1159
1.179E+08	198.6	11.01	1164
1.185E+08	199.6	11.02	1169
1.191E+08	200.6	11.02	1175
1.197E+08	201.6	11.03	1180
1.203E+08	202.7	11.04	1185
1.209E+08	203.7	11.05	1190
1.216E+08	204.7	11.06	1195
1.222E+08	205.8	11.06	1201
1.228E+08	206.8	11.07	1206
1.234E+08	207.8	11.08	1211
1.240E+08	208.9	11.09	1216
1.246E+08	209.9	11.1	1221
1.253E+08	211	11.11	1227
1.259E+08	212	11.11	1232
1.265E+08	213.1	11.12	1237
1.271E+08	214.1	11.13	1242
1.278E+08	215.2	11.14	1247
1.284E+08	216.2	11.15	1253
1.290E+08	217.3	11.16	1258
1.296E+08	218.3	11.16	1263
1.303E+08	219.4	11.17	1268
1.309E+08	220.5	11.18	1273
1.315E+08	221.5	11.19	1279
1.322E+08	222.6	11.2	1284
1.328E+08	223.7	11.21	1289
1.334E+08	224.7	11.22	1294
1.341E+08	225.8	11.22	1299
1.347E+08	226.9	11.23	1305
1.354E+08	228	11.24	1310
1.360E+08	229.1	11.25	1315
1.366E+08	230.1	11.26	1320
1.373E+08	231.2	11.27	1326
1.379E+08	232.3	11.28	1331
1.386E+08	233.4	11.29	1336
1.392E+08	234.5	11.3	1341
